iter	Logloss
0	0.6564934615
1	0.621486571
2	0.5904266526
3	0.5622778666
4	0.5336254077
5	0.5073659698
6	0.4847553798
7	0.4641702994
8	0.4436495749
9	0.4261359141
10	0.408140876
11	0.3934581987
12	0.3804174365
13	0.3667613945
14	0.3553271401
15	0.3448412466
16	0.335386963
17	0.3262827046
18	0.3180605852
19	0.3105554809
20	0.3021089195
21	0.2955659818
22	0.2894253943
23	0.2831061462
24	0.2783186906
25	0.2733193951
26	0.2675844727
27	0.2636369696
28	0.2588538989
29	0.25557675
30	0.2516224955
31	0.24778055
32	0.2450269795
33	0.2417037728
34	0.2392875158
35	0.2371019357
36	0.2345927226
37	0.2318353348
38	0.2302442597
39	0.228302005
40	0.2264913536
41	0.2250065171
42	0.2236313438
43	0.2218828441
44	0.220432991
45	0.2186964701
46	0.2172854569
47	0.2162586262
48	0.2150519632
49	0.2142256424
50	0.2131170624
51	0.2122546971
52	0.2113864704
53	0.2105541356
54	0.2095907965
55	0.2087578365
56	0.207998214
57	0.2074088298
58	0.2068637108
59	0.2058590955
60	0.2049661586
61	0.2044354424
62	0.2037773792
63	0.2032920001
64	0.2025749284
65	0.2020294754
66	0.201485074
67	0.2010523457
68	0.2007577208
69	0.2003814909
70	0.1998931476
71	0.1991184029
72	0.198625021
73	0.19818971
74	0.1978967984
75	0.1976995625
76	0.1972405814
77	0.1969738937
78	0.1966944329
79	0.1963164194
80	0.1959324243
81	0.1955842083
82	0.1953112155
83	0.195033948
84	0.1948067108
85	0.1943955887
86	0.1940785693
87	0.1936139818
88	0.1932141199
89	0.1929359245
90	0.1926915763
91	0.1925215406
92	0.1922479298
93	0.1920081886
94	0.1916834083
95	0.1914081377
96	0.1911991469
97	0.1910460154
98	0.1908257802
99	0.190583799
100	0.1903081056
101	0.1898715415
102	0.1895752419
103	0.1893327841
104	0.1891686891
105	0.1889160348
106	0.1887553522
107	0.1885350644
108	0.1883415467
109	0.1882241737
110	0.1881004118
111	0.1879226469
112	0.1877385554
113	0.1874827912
114	0.187340085
115	0.1871489426
116	0.1870013324
117	0.1868383206
118	0.1866264682
119	0.1863964079
120	0.1861592845
121	0.1858869977
122	0.18576349
123	0.1856493093
124	0.1854403752
