iter	Passed	Remaining
0	6	5141
1	12	4910
2	17	4850
3	23	4753
4	29	4696
5	34	4677
6	40	4637
7	45	4603
8	51	4623
9	57	4630
10	63	4618
11	68	4599
12	74	4595
13	80	4590
14	85	4569
15	91	4556
16	97	4577
17	104	4589
18	109	4585
19	115	4575
20	121	4584
21	127	4593
22	133	4584
23	139	4588
24	145	4584
25	151	4588
26	157	4588
27	163	4588
28	169	4586
29	175	4575
30	181	4581
31	188	4597
32	195	4609
33	202	4643
34	209	4646
35	218	4701
36	224	4704
37	231	4708
38	237	4697
39	243	4699
40	249	4693
41	255	4685
42	261	4680
43	267	4673
44	273	4656
45	279	4648
46	285	4641
47	291	4634
48	296	4624
49	302	4615
50	308	4607
51	314	4598
52	320	4591
53	326	4582
54	332	4572
55	338	4563
56	343	4551
57	349	4540
58	355	4532
59	360	4524
60	366	4516
61	372	4506
62	378	4497
63	384	4489
64	389	4478
65	395	4470
66	401	4462
67	407	4457
68	413	4449
69	419	4442
70	424	4433
71	431	4437
72	437	4432
73	443	4427
74	449	4418
75	455	4409
76	461	4403
77	467	4396
78	472	4386
79	478	4380
80	484	4374
81	490	4370
82	497	4370
83	504	4372
84	510	4367
85	516	4359
86	522	4357
87	529	4352
88	534	4344
89	540	4337
90	546	4327
91	552	4320
92	557	4313
93	563	4306
94	569	4300
95	575	4291
96	580	4281
97	586	4273
98	592	4265
99	598	4258
100	603	4251
101	609	4245
102	616	4242
103	622	4237
104	628	4232
105	635	4229
106	640	4222
107	647	4218
108	653	4213
109	659	4208
110	665	4202
111	671	4197
112	677	4193
113	683	4187
114	689	4181
115	695	4175
116	702	4170
117	708	4165
118	714	4160
119	720	4153
120	726	4149
121	732	4143
122	739	4139
123	744	4133
124	751	4128
125	757	4123
126	763	4117
127	769	4113
128	775	4105
129	781	4097
130	787	4091
131	792	4084
132	799	4081
133	805	4075
134	811	4070
135	817	4064
136	824	4060
137	830	4056
138	836	4052
139	842	4045
140	848	4040
141	854	4033
142	860	4026
143	866	4019
144	872	4011
145	878	4005
146	883	3997
147	889	3990
148	895	3983
149	900	3975
150	906	3968
151	912	3961
152	918	3954
153	924	3948
154	930	3942
155	935	3934
156	941	3929
157	947	3922
158	953	3916
159	960	3915
160	968	3916
161	974	3911
162	981	3907
163	988	3904
164	994	3899
165	1000	3893
166	1006	3887
167	1012	3880
168	1018	3874
169	1024	3867
170	1030	3861
171	1036	3855
172	1041	3848
173	1047	3841
174	1053	3834
175	1059	3827
176	1065	3822
177	1071	3815
178	1077	3808
179	1083	3803
180	1088	3795
181	1094	3790
182	1100	3782
183	1106	3775
184	1112	3769
185	1117	3761
186	1123	3755
187	1129	3748
188	1135	3742
189	1141	3736
190	1147	3729
191	1153	3723
192	1158	3716
193	1164	3708
194	1170	3703
195	1176	3699
196	1182	3691
197	1188	3685
198	1194	3679
199	1200	3673
200	1206	3666
201	1211	3658
202	1217	3651
203	1223	3645
204	1228	3639
205	1235	3633
206	1240	3625
207	1246	3618
208	1252	3612
209	1257	3605
210	1263	3598
211	1269	3592
212	1275	3586
213	1281	3580
214	1287	3574
215	1292	3567
216	1298	3560
217	1304	3554
218	1310	3547
219	1316	3541
220	1321	3534
221	1327	3528
222	1333	3522
223	1339	3515
224	1344	3508
225	1350	3502
226	1356	3495
227	1362	3489
228	1368	3482
229	1373	3475
230	1379	3470
231	1385	3463
232	1391	3457
233	1397	3451
234	1403	3445
235	1408	3438
236	1414	3431
237	1420	3425
238	1426	3418
239	1431	3411
240	1437	3405
241	1442	3398
242	1448	3392
243	1455	3387
244	1461	3382
245	1468	3378
246	1474	3373
247	1480	3366
248	1486	3361
249	1492	3356
250	1499	3351
251	1505	3345
252	1511	3339
253	1517	3334
254	1523	3328
255	1529	3322
256	1536	3317
257	1542	3311
258	1548	3306
259	1554	3301
260	1561	3295
261	1567	3289
262	1573	3284
263	1579	3279
264	1585	3273
265	1592	3267
266	1597	3261
267	1603	3255
268	1610	3250
269	1616	3244
270	1623	3240
271	1629	3234
272	1635	3228
273	1641	3223
274	1647	3217
275	1653	3211
276	1659	3206
277	1665	3199
278	1672	3194
279	1678	3188
280	1684	3182
281	1690	3176
282	1696	3170
283	1702	3165
284	1709	3160
285	1716	3156
286	1722	3151
287	1729	3146
288	1735	3141
289	1743	3137
290	1751	3135
291	1757	3130
292	1765	3126
293	1771	3120
294	1776	3114
295	1782	3107
296	1788	3101
297	1794	3094
298	1800	3088
299	1806	3083
300	1812	3077
301	1818	3071
302	1825	3065
303	1831	3060
304	1837	3054
305	1844	3049
306	1850	3043
307	1856	3037
308	1862	3031
309	1868	3025
310	1874	3019
311	1880	3013
312	1886	3007
313	1892	3000
314	1898	2995
315	1904	2988
316	1910	2982
317	1916	2977
318	1922	2970
319	1928	2965
320	1934	2959
321	1940	2953
322	1946	2946
323	1951	2939
324	1957	2933
325	1962	2926
326	1968	2919
327	1974	2914
328	1981	2908
329	1987	2902
330	1993	2896
331	1999	2890
332	2005	2884
333	2011	2878
334	2017	2872
335	2023	2866
336	2028	2859
337	2035	2853
338	2040	2847
339	2047	2842
340	2053	2836
341	2059	2830
342	2065	2824
343	2071	2818
344	2077	2812
345	2084	2806
346	2090	2800
347	2095	2794
348	2102	2788
349	2108	2783
350	2114	2777
351	2120	2771
352	2126	2765
353	2133	2759
354	2139	2754
355	2146	2749
356	2152	2743
357	2159	2738
358	2165	2732
359	2171	2726
360	2178	2721
361	2184	2715
362	2190	2708
363	2196	2703
364	2202	2697
365	2208	2691
366	2214	2684
367	2220	2679
368	2226	2672
369	2232	2667
370	2239	2661
371	2244	2655
372	2251	2649
373	2257	2643
374	2263	2637
375	2269	2631
376	2275	2625
377	2281	2619
378	2288	2614
379	2294	2608
380	2301	2603
381	2307	2597
382	2314	2592
383	2320	2586
384	2326	2580
385	2333	2575
386	2340	2570
387	2346	2564
388	2353	2558
389	2359	2553
390	2365	2547
391	2372	2542
392	2378	2536
393	2384	2529
394	2390	2523
395	2397	2518
396	2403	2512
397	2409	2506
398	2415	2500
399	2422	2494
400	2429	2490
401	2436	2484
402	2442	2478
403	2448	2472
404	2454	2466
405	2460	2460
406	2466	2454
407	2473	2448
408	2479	2442
409	2485	2436
410	2491	2431
411	2497	2425
412	2504	2419
413	2510	2413
414	2516	2407
415	2522	2401
416	2528	2395
417	2535	2389
418	2541	2383
419	2547	2377
420	2553	2371
421	2559	2365
422	2566	2359
423	2572	2353
424	2578	2348
425	2585	2342
426	2591	2336
427	2597	2330
428	2603	2324
429	2610	2319
430	2616	2313
431	2622	2307
432	2629	2301
433	2635	2295
434	2642	2289
435	2648	2283
436	2654	2277
437	2660	2271
438	2666	2265
439	2672	2259
440	2678	2253
441	2684	2247
442	2691	2241
443	2697	2235
444	2704	2230
445	2710	2224
446	2716	2218
447	2722	2212
448	2729	2206
449	2735	2200
450	2742	2195
451	2748	2189
452	2754	2182
453	2760	2177
454	2766	2171
455	2773	2165
456	2779	2159
457	2785	2152
458	2791	2146
459	2797	2140
460	2804	2135
461	2810	2129
462	2816	2123
463	2822	2117
464	2829	2111
465	2835	2105
466	2841	2099
467	2847	2092
468	2853	2086
469	2859	2080
470	2865	2074
471	2871	2068
472	2877	2062
473	2883	2056
474	2890	2050
475	2896	2044
476	2902	2038
477	2908	2032
478	2914	2026
479	2920	2020
480	2926	2014
481	2932	2007
482	2938	2001
483	2944	1995
484	2950	1989
485	2958	1984
486	2966	1979
487	2973	1974
488	2979	1968
489	2985	1961
490	2991	1955
491	2998	1950
492	3005	1944
493	3012	1938
494	3018	1933
495	3024	1927
496	3032	1921
497	3038	1915
498	3045	1910
499	3051	1904
500	3058	1898
501	3064	1892
502	3070	1886
503	3076	1880
504	3082	1874
505	3088	1867
506	3094	1861
507	3101	1856
508	3109	1850
509	3116	1845
510	3124	1840
511	3131	1834
512	3138	1829
513	3145	1823
514	3153	1818
515	3160	1813
516	3167	1807
517	3173	1801
518	3180	1795
519	3188	1790
520	3195	1784
521	3202	1779
522	3211	1774
523	3218	1768
524	3224	1762
525	3233	1757
526	3241	1752
527	3247	1746
528	3254	1740
529	3262	1736
530	3269	1730
531	3277	1724
532	3283	1718
533	3294	1715
534	3303	1710
535	3311	1705
536	3322	1701
537	3329	1695
538	3336	1689
539	3343	1684
540	3351	1678
541	3357	1672
542	3365	1667
543	3372	1661
544	3379	1655
545	3388	1650
546	3399	1646
547	3405	1640
548	3413	1635
549	3419	1629
550	3426	1623
551	3433	1617
552	3440	1611
553	3448	1606
554	3455	1600
555	3463	1594
